,label,text,like_count
0,1,希望这场灾难早日结束，有人食不果腹，有人入不敷出……快点恢复正常秩序吧！,85
1,0,湖北省内什么时候开放已经40天了，再关就要在老家过清明了,80
2,1,一个月前，我盼望着中国不要全红。现在，我盼望着全世界不要全红！警惕外来输入，全国战疫的结果不能最后功亏一篑！！不然会伤了我们大家的心！！！,66
3,1,上海名医张文宏：“不尽快复工，死亡人数将高于新冠肺炎。”第一个为全面复工吹哨的人，很多地方是开始应该严控的时候放松，现在应该全面复工的时候严控，不作为乱作为，尤其是个别低风险地区农村里不让进出，中小微个体户不让复工，农民工失业没有经济来源一刀切。,51
4,0,湖北省内除武汉，什么时候解封？这样下去工作要丢了，外面租的房每月正常交租，菜都难买还贵，苹果20一斤了，这样下去要怎么生存下去了,59
5,1,希望湖北根据疫情严重程度分级管理，不要一刀切封全部封死,53
6,1,中国加油！,20
7,0,西北某自治区，已经封锁近40天情况下，再喜提十四天。,40
8,0,太多当官的真是不作为，气人的很。像这次疫情我觉得所有从捐赠物资开始，就应该公开透明，我不说有多少是真正的送到群主居民手里了。我们不是在意这些物资，是觉得气人。,29
9,0,45天健康湖北人什么时候解封,30
10,1,山西平遥襄垣林盛村大量糖心红富士，酥梨滞销，因疫情影响道路封闭快递不畅通，农民辛苦一年没有收入，当地储存条件有限急需销售，现在向社会求援，有没有人可以来帮帮我们，可以来收购。,19
11,0,滞留在湖北的外地人员什么时候才能复工,29
12,0,,6
13,1,还是张文宏亲民，不废话，简单，简短，易懂。能3分钟讲完就不会拖10分钟。,14
14,1,加油一切会好的,9
15,1,加油，一切都会好的,6
16,1,中国加油,7
17,1,中国加油！春天一定会来！,3
18,1,复工复产开学要慎重，大家经不起折腾了，??加油！,12
19,0,早点开学吧,3
20,0,现在整看着呢,3
21,0,湖北武汉市以外的市，什么时候能够出去？请政府先放我们有私家车的出去吧，在家里关了快2个月了！我们县级市已经14天以上零新增，零疑似！,20
22,1,中国加油，武汉加油,2
23,1,大中国基本上已经控制住了  就是那些境外入境的人可能会带来麻烦  而且只有我们中国免费 长期在国外的人都想回来免费了,7
24,1,严防境外输入，北京上海广东山东辽宁都要注意。,6
25,0,有网课能不能不占暑假,4
26,0,网课效率低  我想上学去,5
27,1,加油,2
28,1,加油?,2
29,0,:1、头顶“政府光环”，#先锋#集团庞大金融帝国为他人洗钱转移资产，#网信#血洗17万投资人上千亿资金，老总#张振新#伦敦诈死，幕后黑手不详，在逃高管背景复杂，17万投资人遭受金融瘟疫2、#普惠金融#不只收割财富，还有社会诚信！#先锋#集团实控人离奇背景，谁在后面给他站台？@人民日报 @公安部刑侦局,16
30,0,希望疫情过后物价不要涨！,2
31,0,1、头顶“政府光环”，#先锋#集团庞大金融帝国为他人洗钱转移资产，#网信#血洗17万投资人上千亿资金，老总#张振新#伦敦诈死，幕后黑手不详，在逃高管背景复杂，17万投资人遭受金融瘟疫2、#普惠金融#不只收割财富，还有社会诚信！#先锋#集团实控人离奇背景，谁在后面给他站台？@人民日报 @公安部刑侦局,14
32,0,湖北武汉市以外的市，什么时候能够出去？请政府先放我们有私家车的出去吧，在家里关了快2个月了！,8
33,1,加油，早日结束这场战疫,2
34,1,加油?,1
35,1,中国加油??我们必胜,1
36,1,中国加油哇,2
37,0,房租减免，房东不肯怎么办,2
38,0,这些领导里面有没得教育部的呀,1
39,0,新疆还有6个，宁夏还有5个,2
